cdate,working_code_l1,working_code_l2,working_code_l3,name,workers,total_hour
2022-06-17,INBOUND,OTHERS,ABNORMAL,進貨異常,1,7.1
2022-06-17,INBOUND,OTHERS,FIVES,進貨5S,9,9.1
2022-06-17,INBOUND,OTHERS,SECONDPROCESS,加工,4,10.3
2022-06-17,INBOUND,PUTAWAY,PALLETFOURF,上架棧板_四樓,1,1.2
2022-06-17,INBOUND,PUTAWAY,SHELF,上架基架,10,12.7
2022-06-17,INBOUND,PUTAWAY,TRANSPORT,上架拉貨,4,10.4
2022-06-17,INBOUND,QC,QC,品管,3,11.5
2022-06-17,INBOUND,RECEIVED,BULKY,箱賣,1,0.9
2022-06-17,INBOUND,RECEIVED,CONTROL,貴重驗收,1,2.8
2022-06-17,INBOUND,RECEIVED,SMALL,小驗,7,24.1
2022-06-18,INBOUND,ARRIVAL,ARRIVAL,收貨,1,4.8
2022-06-18,INBOUND,ARRIVAL,DOCK,碼頭收發,2,3.2
2022-06-18,INBOUND,COUNTING,COUNTING,進貨計數,8,25.4
2022-06-18,INBOUND,LABELING,LABELING,貼標,10,25.4
2022-06-18,INBOUND,LABELING,PRINT,印標,1,5.2
2022-06-18,INBOUND,MGMT,CONTROL,進貨控場,3,18.7
2022-06-18,INBOUND,OTHERS,ABNORMAL,進貨異常,3,8.8
2022-06-18,INBOUND,OTHERS,FIVES,進貨5S,18,9.7
2022-06-18,INBOUND,OTHERS,SECONDPROCESS,加工,2,9.3
2022-06-18,INBOUND,PUTAWAY,PALLETFOURF,上架棧板_四樓,2,2.9
2022-06-18,INBOUND,PUTAWAY,SHELF,上架基架,16,13.2
2022-06-18,INBOUND,PUTAWAY,TRANSPORT,上架拉貨,4,10.4
2022-06-18,INBOUND,QC,QC,品管,4,13.2
2022-06-18,INBOUND,RECEIVED,CONTROL,貴重驗收,2,12.8
2022-06-18,INBOUND,RECEIVED,SMALL,小驗,9,23.5
2022-06-19,INBOUND,ARRIVAL,ARRIVAL,收貨,1,0.1
2022-06-19,INBOUND,COUNTING,COUNTING,進貨計數,5,4.2
2022-06-19,INBOUND,LABELING,LABELING,貼標,8,15.8
2022-06-19,INBOUND,LABELING,PRINT,印標,2,2.9
2022-06-19,INBOUND,MGMT,CONTROL,進貨控場,1,8.9
2022-06-19,INBOUND,OTHERS,ABNORMAL,進貨異常,4,15.6
2022-06-19,INBOUND,OTHERS,FIVES,進貨5S,10,7.4
2022-06-19,INBOUND,PUTAWAY,PALLETFOURF,上架棧板_四樓,1,3.9
2022-06-19,INBOUND,PUTAWAY,SHELF,上架基架,5,5.6
2022-06-19,INBOUND,PUTAWAY,TRANSPORT,上架拉貨,2,2.2
2022-06-19,INBOUND,QC,QC,品管,1,3.1
2022-06-19,INBOUND,RECEIVED,CONTROL,貴重驗收,1,4.6
2022-06-19,INBOUND,RECEIVED,SMALL,小驗,6,11.8
2022-06-20,INBOUND,ARRIVAL,ARRIVAL,收貨,2,6.2
2022-06-20,INBOUND,ARRIVAL,DOCK,碼頭收發,2,5.2
2022-06-20,INBOUND,COUNTING,COUNTING,進貨計數,11,25.2
2022-06-20,INBOUND,LABELING,LABELING,貼標,12,21.9
2022-06-20,INBOUND,LABELING,PRINT,印標,1,3.9
2022-06-20,INBOUND,MGMT,CONTROL,進貨控場,2,17.7
2022-06-20,INBOUND,OTHERS,ABNORMAL,進貨異常,3,21.9
2022-06-20,INBOUND,OTHERS,FIVES,進貨5S,17,24.7
